State,Governor,Party,Born,Prior public experience,Inauguration,End of term,Past governors
Alabama,Kay Ivey,Republican,"October 15, 1944 (age 75)","Lieutenant Governor, Treasurer",10-Apr-17,2023,List
Alaska,Mike Dunleavy,Republican,"May 5, 1961 (age 58)",Alaska Senate,3-Dec-18,2022,List
Arizona,Doug Ducey,Republican,"April 9, 1964 (age 56)",Treasurer,5-Jan-15,2023 (term limits),List
Arkansas,Asa Hutchinson,Republican,"December 3, 1950 (age 69)","Under Secretary of Homeland Security for Border & Transportation Security, Administrator of the Drug Enforcement Administration, U.S. House, U.S. Attorney",13-Jan-15,2023 (term limits),List
California,Gavin Newsom,Democratic,"October 10, 1967 (age 52)","Lieutenant Governor, Mayor of San Francisco",7-Jan-19,2023,List
Colorado,Jared Polis,Democratic,"May 12, 1975 (age 44)","U.S. House, Colorado State Board of Education",8-Jan-19,2023,List
Connecticut,Ned Lamont,Democratic,"January 3, 1954 (age 66)",Greenwich Selectman,9-Jan-19,2023,List
Delaware,John Carney,Democratic,"May 20, 1956 (age 63)","U.S. House, Lieutenant Governor",17-Jan-17,2021,List
Florida,Ron DeSantis,Republican,"September 14, 1978 (age 41)",U.S. House,8-Jan-19,2023,List
Georgia,Brian Kemp,Republican,"November 2, 1963 (age 56)","Secretary of State, Georgia Senate",14-Jan-19,2023,List
Hawaii,David Ige,Democratic,"January 15, 1957 (age 63)","Hawaii Senate, Hawaii House",1-Dec-14,2022 (term limits),List
Idaho,Brad Little,Republican,"February 15, 1954 (age 66)","Lieutenant Governor, Idaho Senate",7-Jan-19,2023,List
Illinois,J. B. Pritzker,Democratic,"January 19, 1965 (age 55)",No prior public experience,14-Jan-19,2023,List
Indiana,Eric Holcomb,Republican,"May 2, 1968 (age 51)","Lieutenant Governor, Chief of Staff to Senator Dan Coats, Chair of the Indiana Republican Party, Deputy Chief of Staff to the Governor of Indiana",9-Jan-17,2021,List
Iowa,Kim Reynolds,Republican,"August 4, 1959 (age 60)","Lieutenant Governor, Iowa Senate",24-May-17,2023,List
Kansas,Laura Kelly,Democratic,"January 24, 1950 (age 70)",Kansas Senate,14-Jan-19,2023,List
Kentucky,Andy Beshear,Democratic,"November 29, 1977 (age 42)",Attorney General,10-Dec-19,2023,List
Louisiana,John Bel Edwards,Democratic,"September 16, 1966 (age 53)",Minority Leader of the Louisiana House,11-Jan-16,2024 (term limits),List
Maine,Janet Mills,Democratic,"December 30, 1947 (age 72)","Attorney General, Maine House",2-Jan-19,2023,List
Maryland,Larry Hogan,Republican,"May 25, 1956 (age 63)",Secretary of Appointments,21-Jan-15,2023 (term limits),List
Massachusetts,Charlie Baker,Republican,"November 13, 1956 (age 63)","Swampscott Selectman, Secretary of Administration and Finance, Secretary of Health and Human Services",8-Jan-15,2023,List
Michigan,Gretchen Whitmer,Democratic,"August 23, 1971 (age 48)","Michigan Senate, Michigan House",1-Jan-19,2023,List
Minnesota,Tim Walz,Democratic,"April 6, 1964 (age 56)",U.S. House,7-Jan-19,2023,List
Mississippi,Tate Reeves,Republican,"June 5, 1974 (age 45)","Lieutenant Governor, Treasurer",14-Jan-20,2024,List
Missouri,Mike Parson,Republican,"September 17, 1955 (age 64)","Lieutenant Governor, Missouri Senate, Missouri House, Sheriff of Polk County",1-Jun-18,2021,List
Montana,Steve Bullock,Democratic,"April 11, 1966 (age 54)",Attorney General,7-Jan-13,2021 (term limits),List
Nebraska,Pete Ricketts,Republican,"April 19, 1964 (age 56)",No prior public experience,8-Jan-15,2023 (term limits),List
Nevada,Steve Sisolak,Democratic,"December 26, 1953 (age 66)","Clark County Commission, Nevada Board of Regents",7-Jan-19,2023,List
New Hampshire,Chris Sununu,Republican,"November 5, 1974 (age 45)",New Hampshire Executive Council,5-Jan-17,2021,List
New Jersey,Phil Murphy,Democratic,"August 16, 1957 (age 62)","U.S. Ambassador, Finance Chair of the Democratic National Committee",16-Jan-18,2022,List
New Mexico,Michelle Lujan Grisham,Democratic,"October 24, 1959 (age 60)","U.S. House, Secretary of Health",1-Jan-19,2023,List
New York,Andrew Cuomo,Democratic,"December 6, 1957 (age 62)","Attorney General, U.S. Secretary of Housing and Urban Development",1-Jan-11,2022[1],List
North Carolina,Roy Cooper,Democratic,"June 13, 1957 (age 62)","Attorney General, North Carolina Senate, North Carolina House",1-Jan-17,2021,List
North Dakota,Doug Burgum,Republican,"August 1, 1956 (age 63)",No prior public experience,15-Dec-16,2020,List
Ohio,Mike DeWine,Republican,"January 5, 1947 (age 73)","Attorney General, U.S. Senate, Lieutenant Governor, U.S. House, Ohio Senate",14-Jan-19,2023,List
Oklahoma,Kevin Stitt,Republican,"December 28, 1972 (age 47)",No prior public experience,14-Jan-19,2023,List
Oregon,Kate Brown,Democratic,"June 21, 1960 (age 59)","Secretary of State, Oregon Senate, Oregon House",18-Feb-15,2023 (term limits),List
Pennsylvania,Tom Wolf,Democratic,"November 17, 1948 (age 71)",Secretary of Revenue,20-Jan-15,2023 (term limits),List
Rhode Island,Gina Raimondo,Democratic,"May 17, 1971 (age 48)",General Treasurer,6-Jan-15,2023 (term limits),List
South Carolina,Henry McMaster,Republican,"May 27, 1947 (age 72)","Lieutenant Governor, Attorney General, Chair of the South Carolina Republican Party, U.S. Attorney",24-Jan-17,2023,List
South Dakota,Kristi Noem,Republican,"November 30, 1971 (age 48)","U.S. House, South Dakota House",5-Jan-19,2023,List
Tennessee,Bill Lee,Republican,"October 9, 1959 (age 60)",No prior public experience,19-Jan-19,2023,List
Texas,Greg Abbott,Republican,"November 13, 1957 (age 62)","Attorney General, Associate Justice of the Texas Supreme Court",20-Jan-15,2023,List
Utah,Gary Herbert,Republican,"May 7, 1947 (age 72)","Lieutenant Governor, Utah County Commissioner",11-Aug-09,2021 (retiring),List
Vermont,Phil Scott,Republican,"August 4, 1958 (age 61)","Lieutenant Governor, Vermont Senate",5-Jan-17,2021,List
Virginia,Ralph Northam,Democratic,"September 13, 1959 (age 60)","Lieutenant Governor, Virginia Senate",13-Jan-18,2022 (term limits),List
Washington,Jay Inslee,Democratic,"February 9, 1951 (age 69)","U.S. House, Washington House",16-Jan-13,2021,List
West Virginia,Jim Justice,Republican,"April 27, 1951 (age 69)",No prior public experience,16-Jan-17,2021,List
Wisconsin,Tony Evers,Democratic,"November 5, 1951 (age 68)",Superintendent of Public Instruction,7-Jan-19,2023,List
Wyoming,Mark Gordon,Republican,"March 4, 1957 (age 63)",Treasurer,7-Jan-19,2023,List
